,소재지도로명,위도,경도,시군구코드,업태명,업소명,소재지도로명.1,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용
102,서울특별시 동작구 만양로 20 (상도동),37.495302,126.9116989,3190000.0,치킨,테마,서울특별시 동작구 만양로 20 (상도동),서울특별시 동작구 상도동 17번지 62호,20100109.0,영업정지,식품위생법제44조,20100109.0,영업정지
103,서울특별시 동작구 여의대방로 28 (신대방동 현대상가@상가 B동 101호),37.5115616,126.9444598,3190000.0,치킨,네네치킨 신대방점,서울특별시 동작구 여의대방로 28 (신대방동 현대상가@상가 B동 101호),서울특별시 동작구 신대방동 707번지 현대상가@상가 B동 101호,20190920.0,시정명령,법 제71조 법 제72조 및 법 제75조,20190920.0,시정명령
104,서울특별시 동작구 만양로 92 (노량진동),37.5115616,126.9444598,3190000.0,치킨,오빠가쏠께,서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20070412.0,과태료부과,식품위생법 제26조 및 제78조,20060912.0,과태료부과
105,서울특별시 동작구 만양로 92 (노량진동),37.5115616,126.9444598,3190000.0,치킨,오빠가쏠께,서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20070412.0,과태료부과,식품위생법 제26조 및 제78조,20060912.0,과태료부과
106,서울특별시 동작구 만양로 92 (노량진동),37.5115616,126.9444598,3190000.0,치킨,2달러(2DOLLARS),서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20121004.0,영업정지,식품위생법 제75조및 동법시행규칙 제89조,20121004.0,영업정지
107,서울특별시 동작구 만양로 92 (노량진동),37.5115616,126.9444598,3190000.0,치킨,2달러(2DOLLARS),서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20121004.0,영업정지,식품위생법 제75조및 동법시행규칙 제89조,20121004.0,영업정지
108,서울특별시 동작구 만양로 92 (노량진동),37.5115616,126.9444598,3190000.0,치킨,2달러(2DOLLARS),서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20200831.0,영업소폐쇄,법 제71조 법 제74조법 제75조 및 법 제76조,20200831.0,영업소폐쇄
109,서울특별시 동작구 만양로 92 (노량진동),37.4874346,126.9812312,3190000.0,치킨,2달러(2DOLLARS),서울특별시 동작구 만양로 92 (노량진동),서울특별시 동작구 노량진동 119번지 158호,20200831.0,영업소폐쇄,법 제71조 법 제74조법 제75조 및 법 제76조,20200831.0,영업소폐쇄
110,서울특별시 동작구 동작대로27길 11 (사당동),37.4874346,126.9812312,3190000.0,치킨,인디아,서울특별시 동작구 동작대로27길 11 (사당동),서울특별시 동작구 사당동 139번지 43호,20060203.0,과태료부과,식품위생법제78조,20060203.0,과태료부과
111,서울특별시 동작구 동작대로27길 11 (사당동),37.487320200000006,126.98143970000001,3190000.0,치킨,청담,서울특별시 동작구 동작대로27길 11 (사당동),서울특별시 동작구 사당동 139번지 43호,20180619.0,시정명령,법 제71조 및 법 제75조,20180619.0,시정명령
112,서울특별시 동작구 동작대로27길 5 (사당동),37.487320200000006,126.98143970000001,3190000.0,치킨,주식회사수작요리주가이수점,서울특별시 동작구 동작대로27길 5 (사당동),서울특별시 동작구 사당동 139번지 30호,20090130.0,영업정지,식품위생법 제31조,20090130.0,영업정지
113,서울특별시 동작구 동작대로27길 5 (사당동),37.5124854,126.94055800000001,3190000.0,치킨,주식회사수작요리주가이수점,서울특별시 동작구 동작대로27길 5 (사당동),서울특별시 동작구 사당동 139번지 30호,20191203.0,직권말소,법 제37조 7항,20191203.0,직권말소
114,서울특별시 동작구 장승배기로28길 5 (노량진동1층2호),37.4843047,126.96952560000001,3190000.0,치킨,비어올리브,서울특별시 동작구 장승배기로28길 5 (노량진동1층2호),서울특별시 동작구 노량진동 54번지 20호 1층2호,20050103.0,영업정지1월,식품위생법 제58조,20050103.0,영업정지1월
115,서울특별시 동작구 사당로10길 17 (사당동),37.512569,126.9434491,3190000.0,치킨,오크벨리호프,서울특별시 동작구 사당로10길 17 (사당동),서울특별시 동작구 사당동 249번지 44호,20110516.0,영업정지,식품위생법 44조2항 75조 및 동법시행규칙 89조,20110312.0,영업정지
116,서울특별시 동작구 노량진로14가길 16 (노량진동),37.507046100000004,126.95934129999999,3190000.0,치킨,탱바탱바,서울특별시 동작구 노량진로14가길 16 (노량진동),서울특별시 동작구 노량진동 85번지 37호,20070412.0,시정명령,식품위생법 제22조제5항 및 동법 제55조,20061108.0,시정명령
117,서울특별시 동작구 흑석로 88 (흑석동외1필지 202호),37.507046100000004,126.95934129999999,3190000.0,치킨,봉추중대,서울특별시 동작구 흑석로 88 (흑석동외1필지 202호),서울특별시 동작구 흑석동 223번지 18호 외1필지 202호,20160418.0,불문처리,법 제101조제2항제1호,20160418.0,불문처리
118,서울특별시 동작구 흑석로 88 (흑석동외1필지 202호),37.5135407,126.9375681,3190000.0,치킨,봉추중대,서울특별시 동작구 흑석로 88 (흑석동외1필지 202호),서울특별시 동작구 흑석동 223번지 18호 외1필지 202호,20160418.0,불문처리,법 제101조제2항 제1호,20160418.0,불문처리
119,서울특별시 동작구 노량진로 105 (노량진동),37.4991141,126.93057759999998,3190000.0,치킨,소라,서울특별시 동작구 노량진로 105 (노량진동),서울특별시 동작구 노량진동 14번지 15호,20170228.0,영업신고사항 직권말소,법 제37조 7항,20170228.0,영업신고사항 직권말소
120,서울특별시 동작구 국사봉1길 37 (상도동),37.4920429,126.9235047,3190000.0,치킨,술땅만땅,서울특별시 동작구 국사봉1길 37 (상도동),서울특별시 동작구 상도동 324번지 34호,20090405.0,영업정지,식품위생법 제31조제2항,20090405.0,영업정지
